Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1961","1961","hg/ha","106792","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1962","1962","hg/ha","107088","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1963","1963","hg/ha","108523","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1964","1964","hg/ha","110648","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1965","1965","hg/ha","111519","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1966","1966","hg/ha","112251","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1967","1967","hg/ha","113770","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1968","1968","hg/ha","116709","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1969","1969","hg/ha","117701","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1970","1970","hg/ha","116175","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1971","1971","hg/ha","121779","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1972","1972","hg/ha","118254","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1973","1973","hg/ha","111502","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1974","1974","hg/ha","116328","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1975","1975","hg/ha","117728","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1976","1976","hg/ha","123043","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1977","1977","hg/ha","127654","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1978","1978","hg/ha","131206","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1979","1979","hg/ha","131365","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1980","1980","hg/ha","133510","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1981","1981","hg/ha","135618","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1982","1982","hg/ha","133060","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1983","1983","hg/ha","130472","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1984","1984","hg/ha","136017","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1985","1985","hg/ha","135056","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1986","1986","hg/ha","139876","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1987","1987","hg/ha","137827","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1988","1988","hg/ha","128614","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1989","1989","hg/ha","136561","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1990","1990","hg/ha","134063","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1991","1991","hg/ha","134901","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1992","1992","hg/ha","137895","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1993","1993","hg/ha","145388","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1994","1994","hg/ha","156798","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1995","1995","hg/ha","156235","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1996","1996","hg/ha","151070","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1997","1997","hg/ha","151114","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1998","1998","hg/ha","151717","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","1999","1999","hg/ha","161460","Fc","Calculated data"
"QCL","Crops and livestock products","5000","World","5419","Yield","486","Bananas","2000","2000","hg/ha","150879","Fc","Calculated data"
