Species,Amax,Cond,Ci,Trmmol,VpdL,Tleaf,A(mm2),P,p/Area,C,w,l,I:W,H.symm,v.symm,Nind,Iwm,Idm,Fw (g),Dw1(g),A2(mm)+c,sla,ldmc,Lma,Spad,Nt,Ct,dect,bect ,Wl,wv,wde,wdh,wdc,Ndhc,Tdhc,wbe,wbh,wbc,Nbhc,Tbhc,wm,dpm,dsm,aip,NscF,Av_,sscw,sscl,Nsc,bTt,blt1,bNt1,blt2,bNt2,blt3,bNt3,dTt,dlt1,dNt1,dlt2,dNt2,dlt3,dNt3,wp,Ncvb,Nivb,Novb,Livb,wivb,Lovb,wovb,LOR,WOR,TNS,TNL,TNSL,NNP
B. nelumbifolia ,0.74,13.00,280.00,0.20,1.56,22.57,20561.28,508.65,13.26,81.71,147.02,201.82,1.372738403,0.52,1.06,38,14.03,1.37,5.72,0.25,15622.85,653.81,62.14,21.50,27.98,1.84,49.21,1,1,0.26,0.26,0.03,0.07,0.07,1,2,0.02,0.06,0.06,1,1,0.09,0.04,0.05,0,139.17,0.18,0.11,0.12,3.03,1,0.70,2.50,0.02,0.17,0.00,0.00,1,0.65,4.83,0.18,0.83,0.00,0.00,5.87,0,10.50,33.50,0.42,0.24,0.39,0.19,80.00,25.67,35,12,47,12
B. carolineifolia,2.44,37.90,265.00,0.57,1.50,22.67,13640.73,1044.19,88.62,70.5,139.97,169.62,1.211831107,1.11,0.69,65.5,12.49,2.58,7.93,0.81,12888.96,164.72,102.41,61.21,30.24,2.39,49.36,1,1,0.30,0.31,0.02,0.09,0.06,1,3,0.02,0.03,0.05,1,2,0.13,0.10,0.12,0,164.17,0.13,0.07,0.07,1.00,1,1.05,4.50,0.00,0.00,0.00,0.00,1,0.93,2.17,0.00,0.00,0.00,0.00,4.06,1,9.00,20.50,0.39,0.33,0.30,0.26,117.73,26.59,102,39,141,39
B. multineura,1.84,31.21,278.00,0.42,1.36,22.14,15203.95,436.77,12.56,97.54,128.63,152.76,1.187592319,1.16,1.08,22.5,12.33,1.29,6.34,0.53,15203.95,289.90,84.03,34.50,31.40,2.86,57.47,1,1,0.32,0.34,0.03,0.09,0.06,1,2,0.03,0.07,0.08,1,3,0.10,0.04,0.06,5,105.00,0.23,0.15,0.13,4.00,4,0.68,1.33,0.03,0.33,0.49,1.00,4,0.58,1.33,0.06,1.00,0.59,2.00,4.20,0,6.00,19.00,0.38,0.20,0.27,0.16,182.67,7.52,11,39,50,39
B. thiemae,0.60,12.02,290.67,0.17,1.39,22.54,11804.65,1081.4,102.39,56.96,176.89,148.4,0.838939454,1.02,0.62,78.5,10.61,1.66,5.30,0.19,12620.25,686.54,35.02,14.57,32.05,3.23,47.61,1,1,0.24,0.24,0.02,0.06,0.06,1,2,0.02,0.03,0.06,1,3,0.12,0.07,0.06,2,375.83,0.10,0.10,0.05,1.00,1,0.22,1.67,0.00,0.00,0.00,0.00,1,0.27,5.00,0.00,0.00,0.00,0.00,4.28,0,6.50,27.50,0.42,0.27,0.34,0.21,62.14,10.64,42,34,76,34
B. carriae,2.08,39.60,285.00,0.55,1.39,22.89,7462.35,363.81,17.92,83.06,97.09,117.3,1.20815738,0.84,1.01,28.5,9.86,1.52,4.49,0.10,8827.24,919.50,21.38,10.88,20.37,1.64,37.14,0,1,0.25,0.26,0.03,0.06,0.05,1,2,0.03,0.05,0.05,1,3,0.07,0.03,0.04,0,225.83,0.13,0.06,0.06,1.63,1,1.60,31.75,0.00,0.00,0.00,0.00,1,0.30,38.07,0.00,0.00,0.00,0.00,2.87,1,5.50,9.00,0.38,0.20,0.27,0.11,80.00,17.80,53,7,60,7
B. mazae,0.73,15.30,295.00,0.20,1.29,21.96,4595.3,235.97,12.17,87.42,69.55,93.9,1.350107836,0.93,0.92,11.5,10.3,1.34,3.95,0.37,4469.90,179.01,91.51,82.08,40.13,2.61,48.32,0,1,0.42,0.43,0.03,0.17,0.08,2,2,0.02,0.09,0.08,1,2,0.11,0.03,0.07,5,166.67,0.14,0.07,0.08,3.00,1,0.62,3.00,0.04,1.17,0.00,0.00,1,0.94,1.50,0.01,0.17,0.00,0.00,2.92,0,5.50,17.50,0.32,0.18,0.22,0.14,9.10,0.62,4,10,14,10
B.kellermanii,2.21,30.00,251.00,0.42,1.38,22.32,5714.27,256.4,11.52,88.05,74.32,107.46,1.44590958,0.84,1.01,16.67,11.06,0.83,2.24,0.17,5787.71,341.83,75.52,29.29,32.80,3.02,53.78,1,1,0.30,0.28,0.02,0.11,0.06,1,1,0.02,0.04,0.05,1,3,0.09,0.03,0.05,0,218.33,0.11,0.07,0.08,2.60,1,0.31,45.33,0.00,0.00,0.00,0.00,1,0.11,2.67,0.00,0.00,0.00,0.00,2.51,0,6.50,9.50,0.28,0.16,0.21,0.13,32.50,4.69,49,33,82,33
B.sericoneura,1.50,55.80,327.00,0.73,1.31,22.12,11694.04,396.51,13.85,89.31,118.43,137.33,1.159587942,1.02,1.19,27.4,11.82,1.53,4.08,0.20,9783.86,503.64,49.32,20.57,29.30,3.86,52.53,0,0,0.33,0.33,0.03,0.09,0.06,1,2,0.03,0.05,0.06,1,3,0.10,0.03,0.06,0,204.17,0.12,0.07,0.07,2.00,1,0.94,49.33,0.04,10.00,0.00,0.00,3,1.02,15.33,0.05,3.67,0.00,0.00,4.82,1,7.50,29.50,0.34,0.19,0.30,0.15,186.75,12.28,72,21,93,21
B. hydrocotilifolia ,1.86,40.80,296.00,0.56,1.36,22.34,2494.82,167.15,11.2,98.68,59.98,53.49,0.891797266,1.02,1.14,7.33,9.21,0.93,2.23,0.30,7057.49,1950.13,140.92,110.84,50.67,2.16,51.84,1,1,0.64,0.65,0.02,0.39,0.11,3,4,0.01,0.12,0.08,1,3,0.15,0.05,0.10,2,95.83,0.15,0.05,0.04,1.10,1,1.51,37.00,0.04,5.67,0.00,0.00,3,1.19,3.67,0.08,4.67,0.00,0.00,2.13,1,5.00,10.00,0.25,0.13,0.17,0.14,65.36,7.43,82,163,245,163
B. heracleifolia,1.93,40.80,294.00,0.50,1.21,21.42,20300.19,831.78,49.77,70.94,178.68,125.68,0.703380345,0.94,1.04,44.33,13.85,3.27,4.63,0.28,11110.86,403.96,59.39,24.77,38.75,2.22,48.80,0,0,0.29,0.32,0.03,0.09,0.06,1,3,0.03,0.07,0.05,1,2,0.08,0.03,0.05,5,197.50,0.46,0.28,0.23,3.20,4,0.72,7.67,0.08,3.00,0.41,1.67,4,0.55,7.33,0.08,2.67,0.67,2.67,5.83,1,6.50,20.00,0.32,0.31,0.31,0.20,79.67,37.64,49,2,51,2
