Prot_1,Prot_2,Prot_3
0.75,34.48,2.08
0.40,38.08,4.59
2.73,21.56,1.97
3.54,6.25,2.34
4.08,38.60,2.95
3.02,30.91,3.37
5.98,25.00,3.60
1.63,65.34,7.18
4.82,47.25,2.76
5.26,34.67,3.65
3.90,22.45,2.89
17.63,14.25,3.28
5.58,163.64,5.95
8.68,2.99,5.21
4.19,90.94,6.56
17.44,31.35,7.04
8.11,22.56,7.06
16.30,11.34,8.23
7.14,161.78,4.79
15.25,42.29,4.71
3.42,24.00,4.93
12.05,117.60,4.40
16.18,26.90,12.50
7.01,102.69,50.54
4.42,50.60,5.31
18.32,12.28,8.97
16.77,29.62,10.74
13.72,62.88,17.15
10.04,37.09,30.56
50.08,66.40,37.44
9.86,51.24,91.04
10.27,11.90,0.52
17.79,111.54,0.53
23.66,11.83,0.54
12.27,112.88,0.56
12.87,25.59,0.56
13.72,2.04,0.57
14.52,14.28,0.59
22.02,38.95,0.61
9.85,75.60,0.64
32.24,33.92,0.76
31.01,72.53,0.78
22.01,53.81,0.84
49.14,4.09,0.85
19.29,41.29,0.85
29.71,24.49,0.85
24.94,59.05,0.97
35.91,26.22,0.99
43.74,18.00,1.04
13.14,19.19,1.12
40.40,21.21,1.13
13.27,42.18,1.13
64.08,3.84,1.13
9.05,16.75,1.18
11.52,14.84,1.21
39.39,13.14,1.21
40.57,2.33,1.22
3.21,41.95,1.27
60.26,13.69,1.39
51.49,20.52,1.41
16.18,0.65,1.48
46.59,5.99,1.54
64.35,8.32,1.56
28.25,12.57,1.58
40.54,3.87,1.58
62.80,31.74,1.67
20.04,31.11,1.68
11.66,33.75,1.71
49.82,3.44,1.84
17.44,13.13,1.89
46.18,0.28,1.95
37.03,1.58,2.14
26.28,4.12,2.19
54.27,12.06,2.25
27.44,6.58,2.31
32.52,27.95,2.37
22.36,1.25,2.43
43.58,7.48,24.46
70.38,2.35,24.12
31.35,1.82,18.45
21.90,7.24,41.78
37.72,5.80,16.41
21.69,5.76,25.39
27.41,7.58,24.27
5.70,1.55,35.49
42.61,14.38,45.68
24.63,2.00,14.76
56.63,2.35,45.60
42.02,2.13,15.00
39.10,0.02,72.56
20.38,6.81,10.70
8.23,15.12,13.89
28.18,0.34,47.74
52.64,8.14,49.69
51.56,4.21,4.07
54.84,4.03,83.71
56.96,4.75,72.82
10.94,1.31,39.33
46.93,0.35,62.26
63.18,0.12,12.45
