id_comp,names,mol_weight,formula,n_heavy_atom,n_arom_heavy_atom,csp3,n_rotate_bond,n_hbond_acceptors,n_hbond_donors,molar_refrac,tpsa,ilogp,xlogp3,wlogp,mlogp,silicosit,consensus_log,esol_logs,esol_solub_mg,esol_solub_mol,esol_class,ali_logs,ali_solub_mg,ali_solub_mol,ali_class,silicosit_logs,silicosit_solub_mg,silicosit_solub_mol,silicosit_class,gi_absorp,bbb_permeant,pgp_substrate,cyp1a2,cyp2c19,cyp2c9,cyp2d6,cyp3a4,logkp,lipinski,ghose,veber,egan,muegge,bioavail
0,"Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP",122.12,C6H6N2O,9,6,0,1,2,1,32.33,55.98,0.7,-0.37,0.18,-0.43,0.52,0.12,-0.79,19.7,0.162,Very soluble,-0.34,55.5,0.454,Very soluble,-1.57,3.3,0.027,Soluble,High,No,No,No,No,No,No,No,-7.31,0,3,0,0,1,0.55
6,"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid",123.11,C6H5NO2,9,6,0,1,3,1,31.2,50.19,0.86,0.36,0.78,-1.13,0.75,0.32,-1.26,6.81,0.0553,Very soluble,-0.98,12.9,0.105,Very soluble,-1.35,5.46,0.0444,Soluble,High,Yes,No,No,No,No,No,No,-6.8,0,3,0,0,1,0.56
7,"Hypoxanthine; Purine-6-ol",136.11,C5H4N4O,10,9,0,0,3,2,34.51,74.43,0.06,-1.11,-0.35,-0.77,1.33,-0.17,-0.65,30.4,0.224,Very soluble,0.04,148,1.09,Highly soluble,-2.04,1.24,0.00908,Soluble,High,No,No,No,No,No,No,No,-7.92,0,3,0,0,1,0.55
12,"Xanthine",152.11,C5H4N4O2,11,9,0,0,3,3,37.34,94.4,0.07,-0.73,-1.06,-0.85,1.46,-0.22,-0.93,17.9,0.118,Very soluble,-0.78,25.5,0.167,Very soluble,-1.96,1.66,0.0109,Soluble,High,No,No,No,No,No,No,No,-7.75,0,4,0,0,1,0.55
14,"Tryptamine; 3-(2-Aminoethyl)indole",160.22,C10H12N2,12,9,0.2,2,1,2,50.78,41.81,1.54,0.7,1.67,1.26,2.46,1.53,-1.7,3.22,0.0201,Very soluble,-1.16,11.2,0.0699,Very soluble,-3.72,0.0304,0.00019,Soluble,High,Yes,No,Yes,No,No,No,No,-6.78,0,0,0,0,1,0.55
17,"L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid; (S)-Piperidine-2-carboxylic acid",129.16,C6H11NO2,9,0,0.83,1,3,2,37.33,49.33,1.16,-2.31,-0.17,-2.21,0.46,-0.61,0.88,981,7.59,Highly soluble,1.81,8340,64.6,Highly soluble,-0.42,48.5,0.376,Soluble,High,No,No,No,No,No,No,No,-8.73,0,2,0,0,2,0.55
25,"Tyramine; 2-(p-Hydroxyphenyl)ethylamine",137.18,C8H11NO,10,6,0.25,2,2,2,40.95,46.25,1.36,1.1,0.89,1.21,1.28,1.17,-1.7,2.77,0.0202,Very soluble,-1.66,2.97,0.0217,Very soluble,-2.24,0.784,0.00571,Soluble,High,Yes,No,No,No,No,No,No,-6.36,0,1,0,0,1,0.55
33,"Xanthosine 5'-phosphate; Xanthylic acid; XMP; (9-D-Ribosylxanthine)-5'-phosphate",364.21,C10H13N4O9P,24,9,0.5,4,10,6,74.83,209.8,-1.31,-4.01,-3.18,-3.02,-2.5,-2.8,0.41,946,2.6,Highly soluble,0.2,583,1.6,Highly soluble,1.1,4620,12.7,Soluble,Low,No,No,No,No,No,No,No,-11.37,2,1,1,1,3,0.11
35,"Tropine; 3alpha-Tropanol",141.21,C8H15NO,10,0,1,0,2,1,44.31,23.47,1.97,0.75,0.22,0.9,0.6,0.89,-1.19,9.16,0.0649,Very soluble,-0.82,21.3,0.151,Very soluble,-0.25,79.4,0.562,Soluble,High,No,No,No,No,No,No,No,-6.63,0,1,0,0,1,0.55
36,"Nicotine; (S)-3-(1-Methylpyrrolidin-2-yl)pyridine; (S)-Nicotine",162.23,C10H14N2,12,6,0.5,1,2,0,53.13,16.13,2.04,1.17,1.14,1.17,1.89,1.48,-1.89,2.1,0.013,Very soluble,-1.1,12.8,0.0787,Very soluble,-2.62,0.393,0.00242,Soluble,High,Yes,No,No,No,No,No,No,-6.46,0,0,0,0,1,0.55
