,#ID_Hannah_thesis,NROH,SROH,Species,Coll_number,Coll_year,DNA_input,Section,Material,Reads_hits,Depth,Date,Country,Region,Province,District,Location,Habitat,Altitude,Herb_nbr,S_deg,S_min,S_sec,E_deg,E_min,E_sec,Latitude,Longitude
0,1,123,172.422,B.bipinnatifida,90414,2017,37,Petermannia,Herbarium,303754,0.238022,2017,,,,,,,,,,,,,,,,
1,102,265,510.787,B.Petermannia,41875B,1975,110.7,Petermannia,Herbarium,2368424,1.40495,1975,PNG,Momase,Morobe,Buolo,Mount Kaindi,Creek bed,,,7,20,2,146,40,53,-7.33388888888889,146.681388888889
2,110,110,300.562,B.Petermannia,B15JD87,1987,110.7,Petermannia,Herbarium,5066044,3.47536,1987,PNG,Momase,Morobe,  ,Mount Kaindi,Montane slope,2000,E00833899,7,20,2,146,40,53,-7.33388888888889,146.681388888889
3,113,31,41.544,B.strigosa,5167,1978,11.7,Symbegonia,Herbarium,481786,0.833,1978,PNG,Highlands,Southern Highlands,Mendi Munihu,Tagenda,,1760,E00656327,6,15,0,143,41,59,-6.25,143.699722222222
4,117,119,170.453,B.Symbegonia,594,1981,110.7,Symbegonia,Herbarium,512496,0.30136,1981,PNG,Highlands,Eastern Highlands,Kainantau,Sosointenu,Shaded moist,1800,E00175654,6,16,45,145,55,46,-6.27916666666667,145.929444444444
5,117a,78,110.345,B.Symbegonia,594,1981,,Symbegonia,Herbarium,559858,0.323796,1981,PNG,Highlands,Eastern Highlands,Kainantau,Sosointenu,Shaded moist,1800,E00175654,6,16,45,145,55,46,-6.27916666666667,145.929444444444
6,120,52,151.567,B.strigosa,593,1981,110.5,Symbegonia,Herbarium,2546831,6.12167,1981,PNG,Highlands,Enga,Porgera,Alupai,Terrestrial small Creek,,E00841607,5,27,5,143,6,1,-5.45138888888889,143.100277777778
7,121,229,347.186,B.Symbegonia,B34ED87,1987,110.7,Symbegonia,Herbarium,964400,2.21868,1987,PNG,Highlands,Southern Highlands,Mendi Munihu,Lake Kutubu,Wet slope base of waterfall,850,E00748115,6,23,34.44,143,19,28.56,-6.3929,143.3246
8,125,277,451.773,B.kaniensis,378,1962,37,Diploclinium,Herbarium,910457,0.543399,1962,PNG,Southern,Central,Rigo,Doma,,950,E00045452,5,54,8,143,9,18,-5.90222222222222,143.155
9,127,49,63.15,B.Petermannia,68955,1976,110.7,Petermannia,Herbarium,2072971,2.74395,1976,PNG,Southern,Milne Bay,Esa’ala,Mount Kilkerran,Montane slope,1500,E00299377,9,25,0,150,48,0,-9.41666666666667,150.8
10,128,693,1328.448,B.Petermannia,591,1981,110.7,Petermannia,Herbarium,4418040,2.94881,1981,PNG,Highlands,Chimbu,Chuave,Chuave Rural LLG,Shaded moist,1700,E00299366,9,25,0,150,48,0,-9.41666666666667,150.8
11,129,32,51.502,B.Petermannia,89,1977,24.75,Petermannia,Herbarium,773219,3.57629,1977,PNG,Momase,West Sepik (West Sepik (Sandaun)),,Storm Creek,,500,E00299353,3,40,0,141,30,0,-3.66666666666667,141.5
12,131,209,319.601,B.Petermannia,B33KW87,1987,110.7,Petermannia,Herbarium,317563,0.537482,1987,PNG,Highlands,Southern Highlands,Mendi-Munihu,Lake Kutubu,Forest shade,850,E00833912,6,23,34.44,143,19,28.56,-6.3929,143.3246
13,132,369,567.46,B.Petermannia,B44JD87,1987,79.5,Petermannia,Herbarium,1003913,0.934771,1987,PNG,Momase,Morobe,Gumi,Bulolo,,2000,E00833906,7,12,0,146,38,48,-7.2,146.646666666667
14,133,186,266.125,B.Petermannia,B1JD87,1987,110.7,Petermannia,Herbarium,4026863,3.59811,1987,PNG,Southern,Oro,Iora Creek,Myola,Forest shade,2100,E00833895,,,,,,,,
15,138,66,106.574,B.vinkii,80320,1980,50,Symbegonia,Herbarium,1068272,1.02611,1980,PNG,Highlands,Simbu,Gembogl,Guruguru,Forest shade,2550,E00841609,9,16,0,148,57,0,-9.26666666666667,148.95
16,139,145,555.467,B.symsanguinea,6664,2004,110.7,Symbegonia,Herbarium,3378808,1.95866,2004,PNG,Southern,Milne Bay,,,,304.8,E00175656,9,55,37,149,23,12,-9.92694444444444,149.386666666667
17,14,1046,1925.555,B.cyrtandroides,4253,2002,61,Symbegonia,Herbarium,1307110,0.926581,2002,Indonesia,Western New Guinea (Irian Jaya),Highland Papua,Lanny Jaya Regency,Dimba,,2400,LYJB014460,3,48,0,138,28,0,-3.8,138.466666666667
18,140,1718,4676.104,B.Symbegonia,B32ED87,1987,110.7,Symbegonia,Herbarium,4405107,6.43567,1987,PNG,Highlands,Southern Highlands,Mendi-Munihu,Katepa,Shaded waterfall,1800,E00748113,6,12,0,143,44,0,-6.2,143.733333333333
19,142,116,179.313,B.strigosa,592,1981,99.5,Symbegonia,Herbarium,1165123,0.8619,1981,PNG,Highlands,Enga,Porgera,Paiela,terrestrialwetshaded,1800,E00841608,5,22,27,142,58,34,-5.37416666666667,142.976111111111
20,14a,1590,3434.227,B.cyrtandroides,4253,2002,,Symbegonia,Herbarium,1281719,1.02985,2002,Indonesia,Western New Guinea (Irian Jaya),Highland Papua,Lanny Jaya Regency,Dimba,,2400,LYJB014460,3,48,0,138,28,0,-3.8,138.466666666667
21,151,1216,2381.135,B.fulvovillosa,2151,1968,5.05,Symbegonia,Herbarium,2093499,2.31994,1968,PNG,Momase,Morobe,Kabwum,Aregenang,,1090,E00299378,,,,,,,,
22,151a,34,56.074,B.fulvovillosa,2151,1968,,Symbegonia,Herbarium,228388,0.325718,1968,PNG,Momase,Morobe,Kabwum,Aregenang,,1090,E00299378,,,,,,,,
23,153,416,650.029,B.kaniensis,590,1981,52.5,Diploclinium,Herbarium,379871,0.457534,1982,PNG,Highlands,Enga,Lagaip-Porgera,Kandep-Laiagam,Climbing terrestrial or epiphyte,2900,E00045450,,,,,,,,
24,153a,1862,4935.023,B.kaniensis,590,1981,,Diploclinium,Herbarium,2892991,3.1282,1982,PNG,Highlands,Enga,Lagaip-Porgera,Kandep-Laiagam,Climbing terrestrial or epiphyte,2900,E00045450,,,,,,,,
