year,year_3_mark,year_4_mark
09/10,74.9,75.0
09/10,72.1,73.3
09/10,71.4,72.0
09/10,65.1,68.1
09/10,64.9,67.4
09/10,63.2,67.3
09/10,64.6,66.1
09/10,62.8,61.7
09/10,57.7,67.1
09/10,55.7,68.7
09/10,59.4,63.7
09/10,60.3,61.0
09/10,60.4,59.3
09/10,56.7,60.9
09/10,53.6,58.4
09/10,53.9,56.6
09/10,48.5,52.9
09/10,76.5,78.6
09/10,71.1,66.2
09/10,66.7,67.0
09/10,65.4,67.6
09/10,61.7,71.9
09/10,61.3,69.7
09/10,66.6,64.8
09/10,63.3,67.1
09/10,62.8,69.1
09/10,57.4,60.7
09/10,62.5,53.5
09/10,53.8,62.7
09/10,51.4,52.5
09/10,50.0,53.2
09/10,45.3,56.7
09/10,74.3,76.2
09/10,70.2,65.9
09/10,60.4,67.2
09/10,57.7,62.9
09/10,59.4,58.4
09/10,46.6,43.4
09/10,78.4,74.1
09/10,74.4,77.0
09/10,72.2,75.9
09/10,73.5,72.9
09/10,69.3,71.6
09/10,64.6,69.1
09/10,66.6,69.3
09/10,65.3,69.2
09/10,63.2,67.8
09/10,66.7,63.6
09/10,65.1,62.1
09/10,64.2,64.2
09/10,61.9,63.8
09/10,61.5,65.0
09/10,62.4,64.8
09/10,65.7,61.6
09/10,61.3,62.7
09/10,60.9,62.3
09/10,61.3,64.0
09/10,62.5,63.5
09/10,58.7,64.4
09/10,59.5,62.5
09/10,52.3,68.1
09/10,61.4,58.6
09/10,58.6,60.0
09/10,57.6,59.9
09/10,58.8,59.7
09/10,55.2,63.6
09/10,53.7,66.5
09/10,58.7,59.0
09/10,56.2,60.3
09/10,57.2,58.1
09/10,57.6,59.3
09/10,58.5,57.8
09/10,57.5,55.5
09/10,55.7,55.9
09/10,57.6,57.0
09/10,54.3,55.7
09/10,52.9,59.6
09/10,57.0,55.3
09/10,53.8,57.5
09/10,53.7,56.6
09/10,55.4,55.4
09/10,52.8,56.4
09/10,51.4,52.6
09/10,49.7,53.2
09/10,54.4,45.8
09/10,51.3,47.5
10/11,72.5,69.4
10/11,74.3,74.1
10/11,68.8,70.7
10/11,68.6,68.0
10/11,68.2,68.2
10/11,64.5,70.3
10/11,65.2,64.2
10/11,61.3,66.4
10/11,59.7,66.8
10/11,57.0,66.0
10/11,60.0,64.1
10/11,61.3,61.1
10/11,54.4,59.5
10/11,47.6,61.4
10/11,72.5,75.5
10/11,67.3,66.4
10/11,65.6,60.6
10/11,64.9,62.6
10/11,67.9,74.8
10/11,73.8,70.2
10/11,63.3,67.6
10/11,62.6,65.3
10/11,69.9,64.9
10/11,62.4,63.0
10/11,74.9,75.3
10/11,70.7,67.6
10/11,68.6,70.1
10/11,65.3,70.5
10/11,69.4,69.5
10/11,67.3,67.7
10/11,65.8,66.4
10/11,62.4,67.5
10/11,61.0,66.7
10/11,64.2,61.9
10/11,63.1,65.2
10/11,64.3,58.5
10/11,63.6,58.8
10/11,55.5,67.4
10/11,62.2,55.1
10/11,59.0,56.8
10/11,57.1,58.5
10/11,54.8,56.7
10/11,49.0,47.0
10/11,73.5,72.8
10/11,69.6,72.4
10/11,67.0,75.4
10/11,71.1,72.1
10/11,68.7,70.4
10/11,69.3,67.6
10/11,66.9,68.1
10/11,64.6,67.7
10/11,63.1,67.9
10/11,57.7,62.4
10/11,58.6,63.5
10/11,59.5,58.5
10/11,46.1,48.2
11/12,75.6,77.4
11/12,66.6,71.8
11/12,67.8,69.4
11/12,68.3,69.3
11/12,61.8,67.1
11/12,66.3,59.1
11/12,63.8,60.8
11/12,64.3,60.4
11/12,59.5,62.6
11/12,61.6,58.7
11/12,51.9,57.0
11/12,66.7,75.8
11/12,69.0,70.0
11/12,67.0,70.9
11/12,65.7,71.9
11/12,70.7,66.3
11/12,67.9,67.2
11/12,67.6,65.0
11/12,62.3,71.7
11/12,61.9,70.4
11/12,60.6,68.5
11/12,57.9,62.7
11/12,64.1,60.3
11/12,55.6,68.4
11/12,56.8,66.8
11/12,58.2,65.4
11/12,54.3,60.9
11/12,52.3,61.3
11/12,64.6,47.2
11/12,47.5,57.2
11/12,46.9,55.3
11/12,50.2,53.1
11/12,67.5,72.1
11/12,66.0,71.9
11/12,64.1,63.1
11/12,62.7,61.2
11/12,64.8,59.8
11/12,56.5,61.5
11/12,56.8,56.5
11/12,48.4,49.9
11/12,73.6,76.3
11/12,73.3,71.3
11/12,66.3,71.1
11/12,64.8,65.0
11/12,61.2,64.2
11/12,56.4,57.1
11/12,56.4,55.6
11/12,54.0,50.5
11/12,52.1,48.1
11/12,44.3,40.7
11/12,62.5,63.3
11/12,64.4,65.2
11/12,51.2,51.5
12/13,70.7,69.8
12/13,68.3,71.3
12/13,68.0,67.7
12/13,70.2,66.8
12/13,63.1,67.5
12/13,66.5,62.9
12/13,62.5,64.8
12/13,68.2,57.7
12/13,64.5,63.1
12/13,58.0,63.3
12/13,55.5,48.3
12/13,68.9,76.4
12/13,72.2,72.5
12/13,70.7,73.3
12/13,66.6,73.1
12/13,68.6,67.4
12/13,63.9,67.1
12/13,65.5,63.0
12/13,61.4,67.6
12/13,62.0,65.6
12/13,60.3,65.5
12/13,57.5,66.2
12/13,62.5,60.8
12/13,57.2,65.3
12/13,55.3,64.2
12/13,55.9,63.9
12/13,57.9,60.9
12/13,53.6,64.2
12/13,52.8,61.5
12/13,55.8,58.9
12/13,51.2,60.9
12/13,50.7,58.6
12/13,48.3,61.2
12/13,44.8,51.7
12/13,44.8,52.8
12/13,42.6,49.0
12/13,66.1,63.4
12/13,61.1,66.5
12/13,62.0,61.0
12/13,50.4,60.4
12/13,68.8,77.5
12/13,64.1,71.0
12/13,53.0,58.7
12/13,79.2,75.8
12/13,66.9,73.7
12/13,67.7,72.6
12/13,71.0,67.4
12/13,61.7,69.8
12/13,64.2,64.2
12/13,62.2,57.3
12/13,60.8,60.8
12/13,74.1,72.4
12/13,76.2,70.3
12/13,56.1,52.3
12/13,74.7,75.5
12/13,74.5,73.5
12/13,72.4,70.3
12/13,70.1,67.1
12/13,65.7,69.0
12/13,67.9,66.3
12/13,64.9,65.7
12/13,60.2,65.0
12/13,61.5,65.7
12/13,60.7,61.0
12/13,64.1,46.9
12/13,48.6,57.7
12/13,50.6,44.0
12/13,75.8,74.1
12/13,72.2,69.2
12/13,69.3,71.0
12/13,62.9,70.7
12/13,72.7,64.7
12/13,68.1,67.2
12/13,68.8,66.3
12/13,63.8,70.3
12/13,63.1,66.6
12/13,64.8,63.7
12/13,58.6,66.0
12/13,61.7,60.3
12/13,57.6,56.4
12/13,66.4,65.8
12/13,66.9,69.0
12/13,56.7,73.2
12/13,62.1,65.0
12/13,60.9,57.5
12/13,58.6,56.3
12/13,62.7,82.5
12/13,67.9,74.4
12/13,66.4,70.9
12/13,68.8,67.7
12/13,67.5,70.2
12/13,66.7,67.0
12/13,66.1,67.7
12/13,68.9,64.7
12/13,63.5,65.7
12/13,63.5,67.7
12/13,65.4,66.5
12/13,60.4,66.0
12/13,64.9,64.6
12/13,61.8,63.4
12/13,60.3,66.4
12/13,60.0,66.1
12/13,61.6,63.7
12/13,64.3,60.9
12/13,60.0,64.4
12/13,58.3,64.3
12/13,61.5,62.0
12/13,61.0,62.3
12/13,58.4,62.4
12/13,58.3,61.5
12/13,58.1,63.2
12/13,63.1,56.0
12/13,59.0,58.3
12/13,58.2,59.6
12/13,62.1,56.1
12/13,56.8,57.9
12/13,58.2,57.4
12/13,54.4,58.4
12/13,49.0,54.6
12/13,49.9,53.5
13/14,61.5,72.0
13/14,69.6,66.1
13/14,58.6,68.9
13/14,69.7,60.7
13/14,59.7,60.4
13/14,57.1,60.9
13/14,52.8,46.7
13/14,75.2,75.7
13/14,71.0,74.3
13/14,69.7,71.5
13/14,63.3,68.4
13/14,63.8,69.5
13/14,61.9,68.6
13/14,68.2,65.3
13/14,61.6,67.1
13/14,66.2,62.3
13/14,63.4,65.4
13/14,62.0,63.7
13/14,60.5,63.6
13/14,60.5,63.8
