Body,Hour
1,4
2,4
3,13
4,10
5,4
6,8
7,4
8,6
9,7
10,4
11,6
12,3
13,5
14,4
15,3
16,6
17,3
18,7
19,8
20,10
21,6
22,4
23,5
24,4
25,3
26,6
27,7
28,7
29,4
30,3
31,7
32,6
33,12
34,6
35,4
36,8
37,6
38,10
39,9
40,7
41,7
42,9
43,6
44,5
45,10
46,5
47,2
48,9
49,3
50,6
51,3
52,6
53,3
54,4
55,4
56,6
57,4
58,7
59,11
60,4
61,3
62,4
63,5
64,6
65,5
66,5
67,13
68,3
69,6
70,8
71,5
72,10
73,4
74,3
75,4
76,4
77,4
78,5
79,9
80,4
81,8
82,6
83,5
84,6
85,4
86,4
87,6
88,8
89,5
90,8
91,6
92,4
93,7
94,4
95,2
96,7
97,10
98,4
99,6
100,10
101,3
102,4
103,6
104,3
105,5
106,4
107,4
108,3
109,4
110,4
111,5
112,7
113,4
114,5
