kew_id,taxon_name,taxon_name_binom,authors,GS_2C_pg,GS_1C_pg,GS_2C_Mbp,GS_1C_Mbp,from_BI_material,data_source,ID
781250-1,Acer campestre L.,Acer campestre,L.,1.62,0.81,1584.36,792.18,y,Kew,1
781462-1,Acer pseudoplatanus L.,Acer pseudoplatanus,L.,3.18,1.59,3110.04,1555.02,y,Kew,1
2336-2,Achillea ptarmica L.,Achillea ptarmica,L.,7.34,3.67,7178.52,3589.26,y,Kew,1
325030-2,Adiantum capillus-veneris L.,Adiantum capillus-veneris,L.,11.81,5.91,11552.89,5776.45,y,Kew,1
781594-1,Aesculus hippocastanum L.,Aesculus hippocastanum,L.,1.27,0.64,1242.06,625.92,y,Kew,1
150316-1,Agrostemma githago L.,Agrostemma githago,L.,4.6,2.3,4498.8,2249.4,y,Kew,1
30197865-2,Agrostis capillaris L.,Agrostis capillaris,L.,6.46,3.23,6317.88,3158.94,y,Kew,1
30197865-2,Agrostis capillaris L.,Agrostis capillaris,L.,6.46,3.23,6317.88,3158.94,y,Kew,1
386353-1,Agrostis stolonifera L.,Agrostis stolonifera,L.,6.62,3.31,6474.36,3237.18,y,Kew,1
813521-1,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,2.4,1.2,2344.27,1172.13,y,Kew,1
77120351-1,Alchemilla acutiloba Opiz,Alchemilla acutiloba,Opiz,3.87,1.94,3786.19,1893.1,y,Kew,1
720359-1,Alchemilla alpina L.,Alchemilla alpina,L.,3.68,1.84,3599.04,1799.52,y,Kew,1
30019518-2,Alisma plantago-aquatica L.,Alisma plantago-aquatica,L.,21.63,10.81,21154.14,10572.18,y,Kew,1
1176324-2,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,(M.Bieb.) Cavara & Grande,2.41,1.2,2356.98,1173.6,y,Kew,1
528823-1,Allium schoenoprasum L.,Allium schoenoprasum,L.,15.88,7.94,15530.64,7765.32,y,Kew,1
528894-1,Allium sphaerocephalon L.,Allium sphaerocephalon,L.,30.75,15.38,30075.84,15037.92,y,Kew,1
529047-1,Allium triquetrum L.,Allium triquetrum,L.,37.93,18.96,37095.54,18542.88,y,Kew,1
529088-1,Allium ursinum L.,Allium ursinum,L.,63.78,31.89,62376.84,31188.42,y,Kew,1
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,1.14,0.57,1115.24,557.62,y,Kew,1
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,1.08,0.54,1056.24,528.12,y,Kew,1
30036759-2,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,(L.) Gaertn.,1.34,0.67,1314.6,657.3,y,Kew,1
