AccSpeciesName,APG IV level 1,APG IV level 2,APG IV level 3,APG IV level 4,APG IV level 5,Actual EvapoTranspiration,After-ripening requirement,Altitude,Altitude (maximum recorded),Altitude (minimum recorded),Altitude (typical minimum),Annual precipitation,Annual seed dispersal,Appendages on dispersal unit,Average annual relative humidity,Average number of ground frost days per year (sum) (FRS),British distribution (post 1949 records),Carnivory,Change Index,Chromosome cDNA content,Chromosome number,Chromosome ploidy,Cleistogamy,Clonality,Cloud cover,"Comments, notes, methods",Dataset (1),Dataset (2),Dichogamy,"Dicliny (monoeceous, dioecious, hermaphrodite)",Dispersal syndrome (agent),Dispersal unit (dispersule / diaspore) length,EW Index,Ecosystem rooting depth,Ellenberg indicator value: Light,Ellenberg indicator value: Moisture,Ellenberg indicator value: Salt tolerance,Ellenberg indicator value: nitrogen,Ellenberg indicator value: pH (reaction),End of flowering,Epoch,Exposure,Family,Fern  and moss spore width (diameter),Fertilization,Fine root diameter,First historical record: 1. date,First historical record: 2. site,Flow,Flower pollen ovule ratio,Flowering periode: peak month,Fossil record: 1. earliest record,Fossil record: 2. earliest postglacial record,Fraction of absorbed photosynthetic active radiation (FAPAR) of the site,GPP of the site,Genera growth form,Germination requirements 1. chilling,Germination requirements 2. light,Germination requirements 3. temperature fluctuation,Germination type,Habitat / plot description,Heteromorphy,Heterophylly,Identifier within contributed dataset (ID),Inbreeding,Incompatibility systems,Intensity of mycorrhizal infection,January mean temperature,July mean temperature,Latitude,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit,Length of growing season (LGP),Location / Site Name,Location Country,Longitude,Major Phylogenetic Group,Maximum Green Vegetation Fraction,Maximum depth of leaves in the canopy,Maximum temperature at which 50% seeds germinate,Maximum temperature of germination,Mean annual sum of potential evapotranspiration (PET),Mean annual temperature (MAT),Mean clear-sky surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean cloud forcing surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean cloud surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean number of wet days per year,Mean sum of annual precipitation (PPT / MAP / TAP),Mid Point,Minimum temperature at which 50% seeds germinate,Minimum temperature germination,Mono/poly carpic,Mycorrhizal type,NDVI of the site,NPP of the site (2),Net primary productivity of the site (NPP),Normal method of propagation,Northern Limit in Britain,Northern Limit in Europe,Number of European countries in which native,Nutrition (autotroph versus heterotroph),"Onset of flowering (first flowering date, beginning of flowering period)",Order,Photoperiodism: threshold value (h),Photoperiodism: type,Photosynthesis per leaf area at leaf temperature (A_area),Photosynthesis per leaf dry mass (Amass),Physical defences on buds,Physical defences on flowers/fruits,Physical defences on leaves,Physical defences on stems,Plant age at first flowering (primary juvenil period),Plant growth form,Plant height (unspecified if vegetative or reproductive),Plant life form (Raunkiaer life form),Plant photosynthetic pathway,Plant relative growth rate (RGR),Pollen viability,Pollen: 1. mono/di-morphic,Pollen: 2. diameter (um),Pollination syndrome (pollen vector),Precipitation Seasonality (Coefficient of Variation),Precipitation of Coldest Quarter,Precipitation of Driest Month,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Wettest Month,Precipitation of Wettest Quarter,Priestley-Taylor alpha coefficient,Range: 1. european countries where native,Range: 2. european countries where introduced,Range: 3. continents where native,Range: 4. continents where introduced,Reference / source,Root architecture / root system / root habit,Root hair length,Root hairs,"Root persistence (livespan, longevity)",Root rooting depth ,SLA: undefined if petiole in- or excluded,SN Index,Salinity Tolerance,Seed / ovule ratio,Seed dry mass,Seed length (largest dimension length),Seed number per plant,Seed shedding season (time of seed dispersal),Seed viability,Seedbank density,Seedbank longevity,Seedbank type,Seeds per flower,Soil C content per ground area,Soil N content per ground area,Soil bulk density,Soil field capacity,Soil ph,Soil plant available water capacity of rooting zone (derived from remote sensing) 1,Soil plant available water capacity of rooting zone (derived from remote sensing) 2,Soil profile available water capacity,Soil thermal capacity,Soil water content (SWC),Soil wilting point,Solar radiation (kJ m-2 day-1),Southern Limit in Europe,Species conservation status,Species continentality,Species eastern limit,Species nutrient requirements (in soil),Species nutrient requirements (in water),Species occurance dynamics (increasing / decreasing),Species origin,"Species pH requirement ( soil, extreme minimum)","Species pH requirement ( soil, typical minimum)","Species pH requirement (soil, extreme maximum)","Species pH requirement (soil, typical maximum)","Species pH requirement (water, extreme maximum)","Species pH requirement (water, extreme minimum)","Species pH requirement (water, typical maximum)","Species pH requirement (water, typical minimum)",Species rarity status,Species soil moisture requirements (drainage),Species soil moisture requirements (supply),Species soil moisture requirements (water table),Species status (nativity at growth location),Species synonyms (alternative name),Spread (plant height versus plant width relationshp)),Stem longevity,Stem self-supporting,Stomata density,Stomata density on lower surface,Stomata density on upper surface,Stomata distribution (surfaces present),Subclass,Temperature sum of growing degree days (GDD),Temperature: Annual Range,Temperature: Isothermality (BIO2/BIO7) (* 100),Temperature: Max Temperature of Warmest Month,Temperature: Mean Diurnal Range (Mean of monthly (max temp - min temp)),Temperature: Mean Temperature of Coldest Quarter,Temperature: Mean Temperature of Driest Quarter,Temperature: Mean Temperature of Warmest Quarter,Temperature: Mean Temperature of Wettest Quarter,Temperature: Min Temperature of Coldest Month,Temperature: Seasonality (standard deviation *100),Terrestrial chlorophyll index of the site,Time (season) of germination (seedling emergence),Tolerance (resistance) to heavy metals,Tolerance to drought,Tolerance to frost (non-woody tissue),Tolerance to frost (seedlings),Tolerance to grazing,Tolerance to shade,Typical abundance where naturally occurring,Vegetation type / Biome,Vegetative regeneration / reproduction (clonal spread),Vegetative reproduction: pattern forming,Water vapor pressure (kPa),Wetness/Humidity/Aridity of area where samples were taken,Wind speed (m s-1),Woodiness
ACAENA NOVAE-ZELANDIAE,Eudicots,Core Eudicots,Superrosids,Rosids,Fabids,,nan,11.0,nan,0,,831.0,nan,hooks,81.0,175.1,,does not kill insects,,0.65,42,,nan,Extensively creeping and rooting at nodes,72.6,nan,"Royer et al, 2005, 2012",Peppe et al. (2011),markedly protogynous,hermaphrodite,carried by mammals,nan,3.57,1.2999999523,8.0,,,3.0,,7.0,nan,nan,Rosaceae,,cross and self,nan,1901.0,"Yarner, Devon",nan,,,nan,nan,0.66616666317,,S,partial,absolute,nan,epigeal,nan,nan,nan,2601.0,nan,nan,normally mycorrhizal,3.79999995231628,15.1999998092651,-40.5,,,,,2.6895833015,nan,,,,,,,,,,compound,,nan,nan,,nan,,evergreen,,nan,nan,,,toothed,rounded,>3 times as long as wide,truncate,petiolate,,,,,,,,,,15.0,Foxton Estuary,New Zealand,175.2,Angiosperms,,nan,,,,,218.21408081,-62.396999359,155.81724548,185.4,,,,,nan,arbuscular,0.77575522661,1110.5999756,,nan,No,nan,,autotrophic,6,Rosales,,nan,,,nan,spines,soft hairs,nan,nan,H,2,chamaephyte,C3,nan,nan,nan,,nan,,,,,,,,,nan,nan,Australasia,Europe,"Gynn EG, Richards AJ 1985 Journal of Ecology 73 1055-1063 ",nan,nan,nan,nan,0-10,78.616352201,2.85,nan,nan,0.92,2.0,1000-10000,autumn,high,nan,nan,nan,1,6.6873002052,556.62597656,1.4926600456,249.72999573,5.3720002174,225.69999695,262.1000061,174.51699829,1.2208199501,,75.212303162,,nan,nan,Not continental,Hyperoceanic,nan,nan,nan,nan,5.5,,8.6,,,,,,nan,free-draining,nan,nan,naturalised,nan,height < width,nan,procumbent,,nan,nan,nan,Magnoliidae,2452.0,,,,,,,,,,,3.1801526546,spring,nan,nan,sensitive,nan,nan,none,nan,4,stolons,nan,,0.0,,woody
ACAENA NOVAE-ZELANDIAE Kirk,nan,nan,nan,nan,nan,,nan,,nan,nan,,,nan,nan,,,,nan,,,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,nan,nan,nan,,nan,nan,,nan,nan,,,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,,,,,,,,nan,,,,,,,,,,nan,,nan,nan,,nan,,nan,,nan,nan,,,nan,nan,nan,nan,nan,,,,,,,,,,,nan,nan,,nan,,nan,,,,,,,,,,,,,nan,nan,,,,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,Archeophyt in British Islands,nan,,nan,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan
ADIANTUM CAPILLUS-VENERIS,nan,nan,nan,nan,nan,494.0,nan,327.0,nan,nan,,1101.0,nan,nan,66.0,102.0,,does not kill insects,0.54,10.25,58,2.0,nan,Little or no vegetative spread,59.75,herbarium samples,Dryad Digital Repository,http://dx.doi.org/10.5061/dryad.528td,nan,nan,nan,nan,,1.40000003575,4.0,7.0,0.0,3.0,8.0,,nan,exposed,Pteridaceae,,nan,nan,,nan,nan,,,nan,nan,0.38659721613,966.35,nan,nan,nan,nan,nan,Permanent/Temporary shaded wetlands,nan,none,14381.5,nan,nan,nan,5.19999980926514,15.1999998092651,30.434,,,,,1.086319476345,nan,,,,,,,,,,compound,,nan,6-12,,nan,15.0,aestival,,0.036,nan,,10.615711253,lobed,rounded,nan,nan,petiolate,0.1218,386.69950739,,,,,,,,10.0,Texas,USA,-97.352,Pteridophytes,84.0,nan,,,1408.0,18.312499871,211.54217529,-43.236083984,168.30758667,52.9,580.0,,,,polycarpic,VA,0.51608985662,581.450012205,524.5,nan,Yes,50-55,,autotrophic,nan,Polypodiales,,nan,,125.26539278,nan,nan,glabrous,nan,nan,F,6,Hemicryptophyte,nan,nan,nan,nan,,nan,40.052343068,116.0,24.0,82.0,183.0,81.0,201.0,44.0,nan,nan,nan,nan,"Clapham AR, Tutin TG, Warburg EF 1962    Flora of the British Isles, 2nd edition, Cambridge Uni...",adventitious,nan,nan,nan,nan,487.0,,salt-affected,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.06000042,1588.4300537,1.36326003075,332.11999512,7.35799980165,304.79998779,304.70001221,174.81500244,1.0967900157,51.0,156.20199585,16615.541667,<45,nan,Not continental,Oceanic,fertile,nan,nan,Neophyt in British Islands,nan,,nan,,,,,,Scarce,free-draining,nan,nan,native,nan,height = width,nan,creeping,,nan,nan,nan,Polypodiidae,4487.0,34.100000024,39.752269659,35.299999237,11.458333383,8.8500001828,9.9166667461,26.949999491,22.466666222,1.3999999762,734.90295473,1.9059950113,nan,nan,nan,nan,nan,nan,light,scattered,8,rhizomes,nan,1.38583334535,0.5272,3.7500000199,non-woody
ALISMA PLANTAGO-AQUATICA,Monocots,nan,nan,nan,nan,417.0,nan,89.0,381,0,,950.0,nan,nan,76.0,218.4,832.0,does not kill insects,-0.19,25.425,23,2.0,nan,Little or no vegetative spread,71.6,nan,"Sheremet'ev, 2005","Sheremet'ev, 2005",nan,hermaphrodite,water,2.4,4.24,0.80000001192,,10.0,,7.0,,8.0,Oligocene,nan,Alismataceae,,nan,nan,1597.0,nan,nil,,,nan,nan,0.45354166627,719.8,H,absolute,partial,nan,epigeal,Carex acuta+Alisma plantago-aquatica+Butomus umbellatus,nan,environmental,130603.5,nan,nan,rarely mycorrhizal,3.79999995231628,15.1999998092651,51.254977,97.4824484425,273.57746674,7.33243823845,280.69838308500005,1.3823610544,100-1000,,,,0.82,,,,,3.73,simple,168.65332766,nan,nan,,nan,,aestival,,nan,submerged,,29.850746269,entire,pointed,>3 times as long as wide,rounded,petiolate,,,0.05795625,3.759057971,4.92932372505,83.134667234,0.132116004295,5.05762852405,2.5175515577,5.0,Khopersky reserve,Russia,41.768091,Angiosperms,88.0,>0.5m,,,788.0,6.2500000646,137.88400269,-38.599834442,99.284004211,140.0,498.0,28.45,,,polycarpic,arbuscular,0.49325782061,465.6000061,422.1,seed,nan,>65,29.0,autotrophic,6,Alismatales,,nan,,317.1641791,nan,nan,glabrous,nan,nan,H,20,Perennial hydrophyte,C3,nan,nan,nan,,wind,22.602045689,113.0,28.0,87.0,152.0,57.0,152.0,52.0,nan,nan,Europe,nan,"Sheremet'ev, 2005",nan,nan,present,nan,nan,186.56716418,2.71,fresh,nan,0.27,nan,>10000,summer,nan,6015.75,nan,long-term persistent,nan,11.658499718,1382.4100342,1.4716000557,412.02801514,7.1760001183,135.1000061,158.5,245.80999756,1.1762800217,59.0,166.21800232,10987.666667,No,nan,Not continental,Circumpolar,fertile,eutrophic,nan,Neophyt in British Islands,nan,,nan,,,,,,nan,nan,nan,nan,native,nan,height > width,nan,self-supporting,,36,50,both,Magnoliidae,2050.0,39.299999237,23.876166003,24.899999619,9.3833330572,-7.1999998689,-0.78333332141,19.21666654,19.21666654,-14.399999619,1091.7292322,1.6921840906,autumn,nan,nan,nan,nan,nan,none,frequent,4,nan,nan,0.76916666329,0.6205,3.5249999762,non-woody
APERA SPICA-VENTI,nan,nan,nan,nan,nan,,nan,,nan,nan,,726.0,nan,nan,,,99.0,does not kill insects,-0.21,,14,,nan,Little or no vegetative spread,,nan,nan,nan,homogamous,hermaphrodite,nan,nan,2.19,,,4.0,,5.0,,7.0,nan,nan,nan,,apomictic,nan,1632.0,"Canterbury, Kent",nan,,,nan,nan,,,nan,nan,partial,nan,nan,nan,nan,nan,,nan,nan,normally mycorrhizal,3.70000004768372,16.0,,,,,,,1-10,,,,,,,,,,simple,,nan,nan,,nan,0.0,nan,,nan,nan,,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,,,,,,,,,,nan,nan,,nan,,nan,,,,,,,,,,,,,nan,arbuscular,,,,seed,No,nan,20.0,autotrophic,6,nan,,nan,,,nan,nan,glabrous,nan,nan,nan,100,therophyte,C3,nan,nan,nan,,wind,,,,,,,,,nan,nan,Europe,North America,"M O Hill, C D Preston & D B Roy 2004   73pp PLANTATT - Attributes of British and Irish Plants: ...",nan,nan,nan,nan,50-100,,2.23,nan,nan,0.12,1.5,nan,summer,nan,2898,1-5 yrs,long-term persistent,1,,,,,,,,,,,,,nan,nan,Not continental,Euro-Siberian,nan,nan,nan,nan,nan,,nan,,,,,,nan,nan,nan,nan,native,nan,height = width,<1,self-supporting,,nan,nan,nan,nan,,,,,,,,,,,,,autumn,nan,nan,nan,nan,nan,none,nan,Boreo-Temperate,nan,no ramets,,,,non-woody
APERA SPICA-VENTI (L.) P. Beauv.,nan,nan,nan,nan,nan,,nan,,nan,nan,,,nan,nan,,,,nan,,,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,nan,nan,nan,,nan,nan,,nan,nan,,,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,,,,,,,,nan,,,,,,,,,,nan,,nan,nan,,nan,,nan,,nan,nan,,,nan,nan,nan,nan,nan,,,,,,,,,,,nan,nan,,nan,,nan,,,,,,,,,,,,,nan,nan,,,,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,Archeophyt in British Islands,nan,,nan,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan
ARCTOSTAPHYLOS UVA-URSI,Eudicots,Core Eudicots,Superasterids,Asterids,nan,429.0,nan,272.0,914,60,160.0,1615.0,regular,nan,82.0,291.2,,does not kill insects,-0.75,2.49,52,,cleistogamy not recorded,Extensively creeping and rooting at nodes,64.4,nan,TRY db 156,Bond-Lamberty B. Plant Traits of Canadian Forests,weakly protogynous,hermaphrodite,eaten by birds,nan,3.94,0.60000002384,,,0.0,2.0,,7.0,Oligocene,indifferent,Ericaceae,,cross and self,nan,1666.0,Lancashire,nan,,6.0,nan,nan,0.44458332658,779.5,ST,nan,nan,nan,epigeal,Xeric mediterranean forest,homomorphic,nan,58334.0,nan,nan,normally mycorrhizal,2.09999990463257,12.3000001907349,55.8796,,325.39277076999997,,,1.2316666842,0.1-1,,48.391,17.58713429,,,,,,1.2,simple,314.093598185,nan,nan,,0.99,,evergreen,,nan,nan,,5.8065,entire,pointed,1-3 times as long as wide,cuneate,petiolate,0.83,314.093598185,,,2.18384409915,68.59064018149999,,,,6.0,Cold Holm oak forest,Canada,-98.48088,Angiosperms,91.0,nan,,,587.0,-3.0833334786,145.31117249,-45.018665314,100.29441833,108.7,511.0,28.45,,,polycarpic,ericoid,0.53900784254,351.1000061,462.2,seed and vegetative,nan,>65,22.0,autotrophic,5,Ericales,,nan,,54.45,nan,nan,nan,glabrous,nan,S,10,chamaephyte,C3,nan,nan,nan,,insect,54.141876853,61.0,16.0,56.0,225.0,84.0,225.0,73.0,nan,nan,Europe,nan,Bond-Lamberty et al 2002,tap root,nan,nan,nan,shallow,62.903312224,8.52,nan,nan,nan,nan,nan,autumn,nan,158,nan,"seedbank present, type uncertain",nan,31.423200607,3150.9699707,1.1297800541,318.38101196,5.1719999313,74.0500011445,137.8999939,188.54699707,0.91982001066,79.0,95.422996521,11660.166667,No,nan,Not continental,Circumpolar,infertile,nan,stable,Neophyt in British Islands,nan,,nan,,,,,,Present,free-draining,intermittent,periodically high,native,nan,height < width,nan,procumbent,,nan,nan,lower,Magnoliidae,955.0,49.299999237,21.538461286,20.399999619,11.049999846,-18.983333111,-11.599999984,14.333333015,13.816666603,-28.299999237,1368.8404604,1.4398878813,spring,nan,resists,resistant,nan,nan,none,frequent,6,rooting stems,patch-forming,0.54166666108,0.8654,3.7083333333,woody
ASPLENIUM ADIANTUM-NIGRUM L.,nan,nan,nan,nan,nan,,nan,,nan,nan,,,nan,nan,,,,nan,,,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,nan,nan,nan,,nan,nan,,nan,nan,,,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,,,,,,,,nan,,,,,,,,,,nan,,nan,nan,,nan,,nan,,nan,nan,,,nan,nan,nan,nan,nan,,,,,,,,,,,nan,nan,,nan,,nan,,,,,,,,,,,,,nan,nan,,,,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,Neophyt in British Islands,nan,,nan,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan
ASPLENIUM RUTA-MURARIA L.,nan,nan,nan,nan,nan,,nan,,nan,nan,,,nan,nan,,,,nan,,,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,nan,nan,nan,,nan,nan,,nan,nan,,,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,,,,,,,,nan,,,,,,,,,,nan,,nan,nan,,nan,,nan,,nan,nan,,,nan,nan,nan,nan,nan,,,,,,,,,,,nan,nan,,nan,,nan,,,,,,,,,,,,,nan,nan,,,,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,Neophyt in British Islands,nan,,nan,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan
ASPLENIUM TRICHOMANES-RAMOSUM L.,nan,nan,nan,nan,nan,,nan,,nan,nan,,,nan,nan,,,,nan,,,nan,,nan,nan,,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,nan,nan,nan,,nan,nan,,nan,nan,,,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,,,,,,,,,nan,,,,,,,,,,nan,,nan,nan,,nan,,nan,,nan,nan,,,nan,nan,nan,nan,nan,,,,,,,,,,,nan,nan,,nan,,nan,,,,,,,,,,,,,nan,nan,,,,nan,nan,nan,,nan,nan,nan,,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,Neophyt in British Islands,nan,,nan,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan
