sample	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
aubergine	H12@DN1054_c2_g1_i3.p1	1	1308	81	1137	86.9266	8.26529	28.9	27.2
aubergine	H12@DN1656_c0_g2_i1.p1	1	795	29	582	73.2075	4.62893	28.7	28.9
aubergine	H12@DN18954_c0_g1_i6.p1	1	2478	4	325	13.1154	0.242131	29.9	1
aubergine	H12@DN20565_c0_g1_i1.p1	1	1197	40	696	58.1454	4.99415	28.8	4
aubergine	H12@DN3155_c0_g1_i3.p2	1	555	11	472	85.045	2.94054	28.2	4.64
aubergine	H12@DN44859_c0_g1_i1.p1	1	1368	2	51	3.72807	0.0745614	25.5	22
aubergine	H12@DN48600_c0_g1_i1.p1	1	1053	7	139	13.2004	0.667616	28.9	33.9
aubergine	H12@DN762_c0_g1_i1.p2	1	426	52	399	93.662	16.4507	28.9	31.5
aubergine	H3@DN13038_c0_g1_i1.p1	1	1179	224	1153	97.7947	27.972	28.4	42.2
aubergine	H3@DN1729_c0_g1_i55.p3	1	453	2	126	27.8146	0.278146	30.3	22
aubergine	H3@DN2397_c0_g1_i2.p1	1	807	88	789	97.7695	14.5167	28.6	41.1
aubergine	H3@DN3668_c0_g1_i2.p1	1	1050	104	961	91.5238	14.5	28.4	43.4
aubergine	H3@DN3860_c0_g2_i2.p1	1	1275	159	1272	99.7647	17.2251	28.6	40.4
aubergine	H3@DN8649_c0_g1_i3.p1	1	597	20	528	88.4422	5.01675	28.4	7
aubergine	H3@DN8735_c0_g1_i1.p1	1	1089	16	172	15.7943	1.61341	27.3	37.3
aubergine	H5@DN1291_c0_g1_i15.p2	1	357	23	292	81.7927	8.68627	28.5	34.4
aubergine	H5@DN1554_c0_g1_i16.p1	1	1272	170	1268	99.6855	19.0362	28.5	40.2
aubergine	H5@DN18808_c0_g1_i1.p1	1	303	22	209	68.9769	8.22772	28.9	30.1
aubergine	H5@DN2792_c0_g1_i7.p1	1	2076	129	1638	78.9017	8.98748	28.5	10.2
aubergine	H5@DN2973_c0_g1_i2.p1	1	801	18	454	56.6792	3.33333	28.4	41.6
aubergine	H5@DN30464_c0_g1_i1.p1	1	1905	2	146	7.66404	0.153281	28	1
aubergine	H5@DN30569_c0_g1_i1.p1	1	831	48	636	76.5343	8.50662	28.6	24.8
aubergine	H5@DN3185_c1_g1_i2.p1	1	651	3	166	25.4992	0.691244	29.5	4.33
aubergine	H5@DN3226_c0_g1_i10.p1	1	747	92	709	94.913	14.6011	28.5	36
aubergine	H5@DN34709_c0_g1_i1.p1	1	1083	127	1081	99.8153	17.0933	28.2	43.4
aubergine	H5@DN474_c0_g1_i1.p2	1	363	11	254	69.9725	4.42424	28.9	44
aubergine	H5@DN706_c2_g1_i2.p1	1	936	107	933	99.6795	14.531	28.2	37.4
aubergine	H5@DN7265_c1_g2_i4.p1	1	1707	9	280	16.403	0.702402	30.4	40.4
aubergine	H5@DN7690_c0_g1_i3.p1	1	1092	112	977	89.4689	15.3297	29.2	43.9
aubergine	H5@DN7857_c0_g1_i1.p1	1	867	68	850	98.0392	10.4221	28.6	37.6
aubergine	H5@DN9607_c0_g1_i1.p1	1	987	119	983	99.5947	17.6515	28.4	43.6
aubergine	H5@DN998_c0_g1_i6.p2	1	1119	4	234	20.9115	0.536193	31.9	1
aubergine	H2@DN10490_c0_g1_i1.p1	1	672	23	382	56.8452	3.80357	29.6	18.1
aubergine	H2@DN1267_c0_g1_i4.p1	1	1452	237	1344	92.562	23.8595	28.6	42.8
aubergine	H2@DN1353_c0_g1_i11.p1	1	438	16	421	96.1187	5.13699	28.9	18.3
aubergine	H2@DN16296_c0_g1_i2.p1	1	885	36	602	68.0226	5.93785	28.6	29.6
aubergine	H2@DN1928_c0_g1_i6.p1	1	768	82	557	72.526	13.8841	28.5	39.1
aubergine	H2@DN2945_c0_g2_i19.p1	1	1038	103	916	88.2466	12.1628	28.7	35.6
aubergine	H2@DN3144_c0_g1_i3.p1	1	1605	171	1566	97.5701	15.8972	28.3	43.8
aubergine	H2@DN3380_c0_g2_i2.p1	1	2445	28	1164	47.6074	1.33211	29.3	9.29
aubergine	H2@DN34742_c0_g1_i1.p1	1	4659	878	4658	99.9785	27.4812	28.4	41.8
aubergine	H2@DN3508_c0_g1_i10.p1	1	582	54	576	98.9691	13.0275	28.3	41.4
aubergine	H2@DN35161_c0_g1_i1.p1	1	999	126	998	99.8999	18.8008	28.5	43.9
aubergine	H2@DN361_c0_g3_i1.p1	1	885	76	880	99.435	12.8102	28.3	42.8
aubergine	H2@DN37135_c0_g1_i2.p1	1	675	1	150	22.2222	0.222222	30.2	11
aubergine	H2@DN37135_c0_g1_i2.p2	1	333	2	70	21.021	0.42042	26	24
aubergine	H2@DN3869_c0_g1_i7.p1	1	381	32	350	91.8635	8.76903	29.6	30
aubergine	H2@DN40234_c0_g1_i2.p2	1	642	1	150	23.3645	0.233645	24.7	1
aubergine	H2@DN4324_c0_g1_i1.p1	1	951	160	908	95.4784	20.7119	28.8	8.94
aubergine	H2@DN45012_c0_g1_i1.p1	1	522	29	499	95.5939	8.28352	28.5	43.9
aubergine	H2@DN4520_c0_g1_i9.p1	1	735	74	693	94.2857	14.0381	27.8	42
aubergine	H2@DN4698_c0_g2_i2.p1	1	666	51	641	96.2462	10.6682	28.6	41.8
aubergine	H2@DN49968_c0_g1_i1.p1	1	837	80	811	96.8937	13.9916	28.4	42.6
aubergine	H2@DN5001_c0_g1_i2.p1	1	969	121	932	96.1816	16.066	28.1	31.4
aubergine	H2@DN5557_c0_g1_i2.p1	1	669	58	620	92.6756	11.7145	28.5	37
aubergine	H2@DN5750_c0_g1_i10.p1	1	1347	3	209	15.516	0.314774	27.2	7.67
aubergine	H2@DN6196_c0_g1_i5.p1	1	663	55	632	95.3243	11.3062	28.7	8.45
aubergine	H2@DN6574_c0_g1_i1.p1	1	960	98	956	99.5833	15.2396	28.9	44
aubergine	H2@DN6911_c0_g1_i1.p1	1	588	69	582	98.9796	16.2602	28	41.7
aubergine	H2@DN6990_c0_g1_i10.p1	1	1404	3	214	15.2422	0.320513	32.3	1
aubergine	H2@DN776_c0_g1_i2.p1	1	1008	32	465	46.131	3.93353	28	37.4
aubergine	H2@DN8277_c0_g1_i1.p1	1	1569	4	248	15.8062	0.382409	28.4	1
aubergine	H2@DN8328_c0_g1_i8.p1	1	759	71	687	90.5138	13.444	29	42.8
aubergine	H2@DN8336_c0_g1_i1.p2	1	870	20	616	70.8046	2.9931	29.4	10
aubergine	H2@DN8336_c0_g1_i1.p1	1	1098	9	475	43.2605	1.20856	28.1	11
aubergine	H2@DN9560_c0_g1_i1.p1	1	3012	342	3001	99.6348	16.9631	28.9	33.7
aubergine	H2@DN98_c1_g2_i1.p1	1	1353	6	245	18.1079	0.665188	29.2	1
aubergine	SMEL4.1_00g000890.1.01	1	648	54	648	100	12.4954	27.9	22
aubergine	SMEL4.1_00g001310.1.01	1	876	87	869	99.2009	14.8276	29.3	38.7
aubergine	SMEL4.1_00g005210.1.01	1	1524	320	1521	99.8031	31.4337	28.4	18.1
aubergine	SMEL4.1_00g005390.1.01	1	828	66	778	93.9614	11.9143	29	44
aubergine	SMEL4.1_00g006980.1.01	1	678	109	675	99.5575	22.4735	28.5	43.1
aubergine	SMEL4.1_01g039620.1.01	1	585	55	584	99.8291	14.0239	29.4	44
aubergine	SMEL4.1_01g034590.1.01	1	1041	112	1018	97.7906	16.123	28.8	44
aubergine	SMEL4.1_01g033680.1.01	1	1137	137	1130	99.3843	18.0607	28.1	17
aubergine	SMEL4.1_01g032910.1.01	1	858	102	856	99.7669	17.683	28.4	43.9
aubergine	SMEL4.1_01g032570.1.01	1	1521	139	1518	99.8028	13.7055	28.3	44
aubergine	SMEL4.1_01g030350.1.01	1	918	82	911	99.2375	13.3268	28	19.8
aubergine	SMEL4.1_01g030340.1.01	1	1140	89	1139	99.9123	11.6886	28.1	11.6
aubergine	SMEL4.1_01g029590.1.01	1	705	108	701	99.4326	22.0709	28.6	38.7
aubergine	SMEL4.1_01g029520.1.01	1	3336	435	3326	99.7002	17.0378	28.6	39.8
aubergine	SMEL4.1_01g029420.1.01	1	738	70	737	99.8645	14.0949	28	43.9
aubergine	SMEL4.1_01g028550.1.01	1	1146	127	1144	99.8255	16.6038	29	20.2
aubergine	SMEL4.1_01g028200.1.01	1	366	23	355	96.9945	9.35792	29.8	26.5
aubergine	SMEL4.1_01g027880.1.01	1	1917	223	1901	99.1654	17.4011	28.7	21.7
aubergine	SMEL4.1_01g027250.1.01	1	1506	136	1505	99.9336	13.5066	28.7	44
aubergine	SMEL4.1_01g026000.1.01	1	1416	168	1416	100	17.7669	28.9	43.7
aubergine	SMEL4.1_01g025900.1.01	1	1986	232	1956	98.4894	17.5091	28.4	37.1
aubergine	SMEL4.1_01g023200.1.01	1	1371	145	1349	98.3953	15.8082	28.4	15.2
aubergine	SMEL4.1_01g021320.1.01	1	777	61	774	99.6139	11.6345	28.4	23.7
aubergine	SMEL4.1_01g020970.1.01	1	690	60	675	97.8261	13.0116	29.9	44
aubergine	SMEL4.1_01g020240.1.01	1	1194	94	1189	99.5812	11.6918	28.7	35.5
aubergine	SMEL4.1_01g019050.1.01	1	1572	170	1568	99.7455	16.166	28.2	44
aubergine	SMEL4.1_01g012230.1.01	1	1449	144	1448	99.931	14.8875	28.4	19.2
aubergine	SMEL4.1_01g010710.1.01	1	426	73	424	99.5305	25.5798	29.4	43.8
aubergine	SMEL4.1_01g010130.1.01	1	1086	114	1081	99.5396	15.7192	27.8	44
aubergine	SMEL4.1_01g009930.1.01	1	1146	119	1140	99.4764	15.555	28.3	44
aubergine	SMEL4.1_01g006930.1.01	1	2526	275	2525	99.9604	16.2985	28.6	31.1
aubergine	SMEL4.1_01g002950.1.01	1	1161	125	1160	99.9139	16.031	28.3	33.5
aubergine	SMEL4.1_01g002790.1.01	1	675	77	674	99.8519	17.0726	28.2	44
aubergine	SMEL4.1_01g002700.1.01	1	1170	118	1156	98.8034	15.1051	28.4	44
aubergine	SMEL4.1_01g002310.1.01	1	942	82	931	98.8323	13.0499	28.2	44
aubergine	SMEL4.1_01g000710.1.01	1	1149	93	1124	97.8242	12.1245	28.4	44
aubergine	SMEL4.1_10g023130.1.01	1	1257	107	1233	98.0907	12.7582	28.4	44
aubergine	SMEL4.1_10g022170.1.01	1	684	58	680	99.4152	12.7061	28.4	44
aubergine	SMEL4.1_10g021590.1.01	1	648	70	645	99.537	16.1327	28.3	44
aubergine	SMEL4.1_10g016570.1.01	1	594	55	591	99.4949	13.7609	27.7	44
aubergine	SMEL4.1_10g015950.1.01	1	981	165	980	99.8981	24.3456	28.9	28.5
aubergine	SMEL4.1_10g013020.1.01	1	2127	238	2115	99.4358	16.7424	28.5	43.9
aubergine	SMEL4.1_10g012820.1.01	1	507	42	499	98.4221	12.4221	29.3	23.5
aubergine	SMEL4.1_10g010020.1.01	1	1317	118	1298	98.5573	13.3941	28.7	44
aubergine	SMEL4.1_10g009290.1.01	1	1584	164	1560	98.4848	15.4362	28.2	18.8
aubergine	SMEL4.1_10g009190.1.01	1	828	75	802	96.8599	13.5809	28.3	44
aubergine	SMEL4.1_10g006410.1.01	1	1470	156	1463	99.5238	15.8966	28.2	22.6
aubergine	SMEL4.1_10g005940.1.01	1	1938	181	1902	98.1424	13.9856	28.8	33.7
aubergine	SMEL4.1_10g005250.1.01	1	753	77	749	99.4688	15.1633	28.2	43.8
aubergine	SMEL4.1_10g004790.1.01	1	567	29	560	98.7654	7.63668	27.9	21
aubergine	SMEL4.1_10g003880.1.01	1	1056	90	1031	97.6326	12.7652	28.4	28.7
aubergine	SMEL4.1_10g001450.1.01	1	672	51	598	88.9881	11.378	28.5	44
aubergine	SMEL4.1_10g001190.1.01	1	1524	141	1523	99.9344	13.8104	28.7	32.8
aubergine	SMEL4.1_11g026100.1.01	1	1527	185	1523	99.738	17.2443	28.4	42.1
aubergine	SMEL4.1_11g025670.1.01	1	738	45	737	99.8645	9.0813	28.4	44
aubergine	SMEL4.1_11g023340.1.01	1	633	58	631	99.684	13.6998	28.5	44
aubergine	SMEL4.1_11g022680.1.01	1	1743	178	1741	99.8853	15.2714	28.4	44
aubergine	SMEL4.1_11g022340.1.01	1	1419	160	1410	99.3658	16.7618	28.6	25.8
aubergine	SMEL4.1_11g022150.1.01	1	438	24	435	99.3151	8.1895	28.3	24.3
aubergine	SMEL4.1_11g014190.1.01	1	1185	104	1184	99.9156	13.0624	28.6	34
aubergine	SMEL4.1_11g012010.1.01	1	741	48	726	97.9757	9.5776	28.5	43.9
aubergine	SMEL4.1_11g007710.1.01	1	1245	135	1204	96.7068	16.2466	28.4	17.6
aubergine	SMEL4.1_11g007320.1.01	1	495	41	487	98.3838	12.2162	28.5	43.9
aubergine	SMEL4.1_11g005780.1.01	1	1095	95	1092	99.726	12.9726	28.8	44
aubergine	SMEL4.1_11g002050.1.01	1	828	82	827	99.8792	14.8152	29.1	44
aubergine	SMEL4.1_11g001480.1.01	1	888	80	879	98.9865	13.3986	29	41
aubergine	SMEL4.1_12g000440.1.01	1	582	39	582	100	10.0172	28.7	32.2
aubergine	SMEL4.1_12g001750.1.01	1	972	97	942	96.9136	14.7716	28.6	40.7
aubergine	SMEL4.1_12g002860.1.01	1	1101	115	1098	99.7275	15.594	28.3	44
aubergine	SMEL4.1_12g003170.1.01	1	567	41	560	98.7654	10.7813	28.1	14.9
aubergine	SMEL4.1_12g007570.1.01	1	615	288	614	99.8374	63.1886	28.7	36.9
aubergine	SMEL4.1_12g009010.1.01	1	1848	225	1845	99.8377	18.1937	28.7	44
aubergine	SMEL4.1_12g011760.1.01	1	2424	405	2421	99.8762	24.4691	28.6	37.3
aubergine	SMEL4.1_12g015260.1.01	1	579	78	579	100	17.1934	28.1	37.8
aubergine	SMEL4.1_12g015490.1.01	1	996	95	975	97.8916	14.2721	28.5	22.7
aubergine	SMEL4.1_12g017040.1.01	1	180	2	150	83.3333	1.66667	27.8	1
aubergine	SMEL4.1_12g017050.1.01	1	789	71	778	98.6058	13.4956	27.7	40.4
aubergine	SMEL4.1_12g017340.1.01	1	1479	175	1470	99.3915	17.6335	28.2	43.9
aubergine	SMEL4.1_02g029810.1.01	1	927	92	920	99.2449	14.8565	28.1	44
aubergine	SMEL4.1_02g029630.1.01	1	867	81	857	98.8466	13.9885	28.7	44
aubergine	SMEL4.1_02g028600.1.01	1	4449	510	4447	99.955	17.14	28.6	28
aubergine	SMEL4.1_02g027840.1.01	1	756	62	747	98.8095	12.2897	29.2	44
aubergine	SMEL4.1_02g026510.1.01	1	1404	162	1390	99.0028	17.2293	28.3	44
aubergine	SMEL4.1_02g023950.1.01	1	1299	125	1286	98.9992	14.3318	28.5	35.6
aubergine	SMEL4.1_02g021700.1.01	1	2094	219	2067	98.7106	15.6619	28.2	44
aubergine	SMEL4.1_02g019840.1.01	1	1203	115	1197	99.5012	14.2594	28.2	23.6
