,length,OXF1071_S29,OXF1147_S30,OXF1623_S50,OXF2544_S53,OXF936_S52,OXF939_S51,RC01_S1,RC04_S2,RC05_S26,RC09_S4,RC15_S5,RC16_S6,RC20_S7,RC23_S8,RC24_S9,RC27_S31,RC28_S32,RC30_S33,RC31_S10,RC32_S11,RC33_S12,RC34_S13,RC35_S14,RC37_S34,RC38_S15,RC45_S35,RC46_S36,RC47_S37,RC48_S38,RC50_S16,RC51_S39,RC52_S17,RC54_S40,RC55_S41,RC57_S42,RC60_S18,RC65_S43,RC66_S44,RC68_S19,RC70_S20,RC71_S21,RC73_S45,RC75_S46,RC79_S47,RC81_S22,RC82_S23,RC85_S48,RC87_S24,RC88_S25,RC89_S3,RC90_S27,RC91_S28,RC92_S49,sum,
I_lacunosa-Solyc01g100170.2.1_1,4190,266,935299,5565,3132,216,1480,153035,604754,1360304,9365,1033,3939,6221,12626,20666,638,600,2090,0,2215,42988,0,1478,0,13582,320,2177,299,3932,1212,0,2249,698,812,255833,32065,1586962,10648,6260,1425961,280827,4743,257290,0,17501,23408,1058,5783,161830,0,1243,4097,0,7272890,
I_lacunosa-Solyc09g091900.2.1_1,2578,1875,3145,2765,2880,624,0,67314,830,548,1329,2348,2200,821,3255,280,0,0,744,0,1876,600,0,380,208,889929,0,117246,0,714256,2061,496,530,138,522,136,1227,30912,8613,9154,3717,1048,548,368046,0,4770,50195,296,247873,1383,0,312,1353,0,2551361,
I_lacunosa-Solyc09g092070.2.1_1,6788,9529,1201,69350,2461,358,880,520687,205968,876,5117,2485,4454,2101,6823,5097,198,0,73612,0,35283,662,0,348,298,1838,452,151,60,3942,612,598,3354,676,894,3079,17599,868709,202761,10359,259804,2558,2565,424393,0,514037,172624,120869,2551,840,0,9372,3397,0,3582670,
I_lacunosa-Solyc09g018710.2.1_1,2290,302,16368,120621,396,436,0,322479,10089,379407,626968,0,3282,3696,4535,20316,202,91319,1584,0,900,0,0,866,0,7420,448,13906,1692,1257,9187,0,1383,112,0,572,2253,383808,515129,1506,10045,3116,0,3910,0,2774,598,0,2407,1905,0,698,299,0,2570481,
I_lacunosa-Solyc05g013820.2.1_1,1357,0,3726,0,1063,452,276,207357,23832,1512,109514,299,1677,1365,1588,604,318,130,234,0,1794,243,0,3014,0,445,0,1800,0,910,1123,0,328,206,580,356,1296,348816,14910,4370,279977,4689,2024,94320,0,410953,3199,0,2482,0,302,1216,902,0,1535559,
I_lacunosa-Solyc05g056250.2.1_1,3078,892,37440,4876,2170,826,194,155896,204124,138576,1960,28786,3404,10254,10490,10830,784,0,593,0,2789,1501,0,0,498,52484,0,1064,0,539281,0,1185,1307,128,1288,1390,3479,33515,27456,1171,6970,32336,1602,243871,0,39990,1432,0,6900,903,0,688,667,0,1619068,
I_lacunosa-Solyc06g083350.2.1_1,2851,5980,13595,156645,7970,1418,0,347817,38618,8621,150216,130702,68395,17048,56711,15086,1482,186724,40984,0,420677,15936,0,1305,276,2356,6646,2656,1836,4674,495,5546,29354,3474,2112,11416,240163,2321332,442690,34272,363280,6302,10489,678122,0,14028,433645,8003,23027,3238,0,187359,6600,0,6532172,
I_lacunosa-Solyc12g099310.1.1_1,1223,406,283,2107,0,0,0,265951,249,6159,1038,28724,278,404,1574,1093,0,0,154,0,0,0,0,0,104,0,0,230,0,300,380,0,618,504,0,0,180,30818,678,0,1378,587,882,98712,0,1462,185411,0,114868,0,0,0,0,0,746755,
I_lacunosa-Solyc12g099290.1.1_1,4575,879,3626,3684,2689,910,282,3572,1194,2182,76403,2356,1725,2286,11723,10867,192,0,1812,0,3019,5123,0,544,0,1341,0,302,0,3819,1882,912,1651,734,694,862,2332,26173,643233,1811,8641,2842,1794,644203,0,6083,2108,456,140317,316,0,585,1820,0,1634554,
I_lacunosa-Solyc11g008850.1.1_1,4712,1679,3144,628141,1936,0,0,62585,41302,2319,4996,5301,3587,7060,5834,3717,427,208,846,0,4573,1961,0,272,166,756,94276,776,2372,2981,1207,0,3902,522,262,882,3235,540086,49335,7077,604875,545694,1788,362085,0,10839,2098,424,3043,822,0,71369,900,0,3096372,
I_lacunosa-Solyc02g081460.2.1_1,5827,1819,612389,14596,6724,0,248,597,42928,153,432208,606,2767,2420,8936,11473,236,276,1211,0,1691,3623,0,1411,0,414,0,27449,0,2704,628,297,921,39335,256,33297,303371,313337,68903,602,11286,143595,1773,393125,0,10936,49128,0,1683,916,0,374,305,0,2556774,
I_lacunosa-Solyc02g081460.2.1_2,3910,2300,12228,4415,3361,37116,0,14636,1512,144,812448,522840,962,2402,1048973,758,820,257,1164,0,266,1012,0,502,0,2210,0,2903,0,0,3046,1296,169589,1245,142,1074,830,6326,72585,19208,81961,2093,1202,79157,122,6018,342731,126,1574,231329,0,4271,1131,0,3504195,
I_lacunosa-Solyc01g097600.1.1_1,4619,252,2587,16728,868,808,0,5115,1807,2398,7874,25340,40630,3391,3747,2458,0,0,0,0,2416,431,0,250,0,110,0,204,0,3814,1124,842,4115,296,70,788,3629,70117,29113,2514,320343,83681,604,2946,0,6608,18829,756,651,46534,0,2101,1253,0,722761,
I_lacunosa-Solyc01g104000.2.1_1,3549,1732,109018,4369,6940,1074,866,7258,15854,14615,12388,426200,10306,3421,7520,5247,15653,0,312,0,3163,579,0,166419,118,1716,194,147049,212,126705,1681,1068,3078,478,294,1378,635611,797909,616292,15676,270372,283756,4129,193837,0,31443,690142,570,591745,4001,112,4598,3235,0,5243882,
I_lacunosa-Solyc08g062610.2.1_1,1330,0,607,1156,0,0,294,2713,26834,0,627,684,0,3392,478,0,0,151,149587,0,0,1152,0,492,0,0,256,0,0,540,0,0,1009,201,110,130,136,1155,1902,19980,998,0,263,152,0,2158,913,0,1431,0,264,0,369,0,221464,
I_lacunosa-Solyc12g009990.1.1_1,3333,0,0,0,270,0,903,302,7492,1208,520,134,1203,302,886,0,0,280452,0,0,0,0,0,188,0,238,312,302,0,2150,774,0,1183,0,0,476,1142,2174,512532,3012,633165,887,304,406375,0,8708,604,120,1778,762,0,406,302,0,1874899,
I_lacunosa-Solyc01g099750.2.1_1,3787,1168,3421,30475,4824,42646,227,68610,1429,5508,7793,1702,7737,2740,17501,66153,603,67622,14409,0,3987,871,0,18727,530,2004,193907,225290,186,3903,1221,620,79543,2036,772,932,315550,499552,40164,7488,133431,2312,137413,317062,0,142088,44014,376,3141,1081084,912,2592,886,0,3610949,
I_lacunosa-Solyc05g013960.2.1_1,4028,2935,9168,565163,295415,3534,0,115456,61601,5359,12297,17212,8087,118973,223800,747306,8138,18266,1344,0,498411,5642,0,2574,0,155160,1318,2620,934,9174,4507,415,9433,1082,3664,1540,9542,1023154,1314108,18948,827314,10300,648834,2381216,96,408335,22148,70645,86662,102681,0,6365,4818,0,9849722,
I_lacunosa-Solyc11g005870.1.1_1,3975,69885,662828,1549549,833235,534,301,4114,141050,468,923447,1664,2526,3904,1435,1497,0,0,0,0,2241,2086,0,597,172,20148,0,0,0,308532,452,302,293,716,0,316,9006,581989,5197,4312,76807,3076,2097,14659,0,3767,4468,1592,2226,290,0,1646,2407,0,5249806,
I_lacunosa-Solyc01g009110.2.1_1,1614,792,1101,2082,1821,0,400,1460,427167,594,2015,2245,3104,0,1912,337006,0,0,0,0,3617,0,0,451,0,132,300,0,0,914,467,372,1718,0,164,0,918,31105,44717,608,741640,2207,1130591,8906,0,4237,602,0,1122,818,0,0,915,0,2759834,
I_lacunosa-Solyc04g015450.2.1_1,9640,2487,5352,26965,4671,92851,2664,21416,87562,15677,47839,4187,7733,6082,7642,287872,406,133869,70099,33,3412,34598,114,2134,0,616,862,871,0,4927,2866,0,14075,1988,973,1002,7334,434100,384986,107135,176278,137573,6909,883306,0,95636,6220,974,2903,3535,63,962,5914,0,3157313,
I_lacunosa-Solyc03g025280.2.1_1,7393,1808,28479,4351,5964,158588,148,20970,661017,15248,8572,9893,90063,3553,257151,247756,1114,12448,455,0,1994,2701,192,3759,5034,1478,506,2532,7746,5421,3678,120,5969,1491,1650,661,377131,1227223,1010650,5367,180903,4195,24252,640637,0,548220,20061,1288,6983,2493,0,3489,3428,176,5636399,
I_lacunosa-Solyc02g088550.2.1_1,5597,1697,24649,7304,447655,101307,302,133652,337437,3302,21552,7669,9223,6683,1790524,4778,0,15820,938,0,3714,36736,3603,21306,0,47933,631,2004,220,539145,1646,302,7234,121186,491,17935,276657,144940,830857,7165,907427,77395,2705,577792,98,218577,9539,126,3903,7597,596,1574,4711,0,6795834,
